team_id,season,week,team_id_opp,matchup_type,result,score_team,score_opp
1073370,2016,14,1107405,Consolation Game,W,71.52,45.5
1073370,2016,15,1073671,Consolation Game,W,112.74,88.16
1073370,2016,2,1073420,Division Game,L,98.56,104.54
1073370,2016,3,1087309,Non-Division Game,W,101.18,85.48
1073370,2016,4,1073358,Division Game,L,93.9,95.48
1073370,2016,5,1115989,Division Game,W,101,68.92
1073370,2016,6,1107405,Division Game,L,88.56,93.14
1073370,2016,7,1089754,Non-Division Game,L,29.44,94.74
1073370,2016,8,1073363,Division Game,L,61.2,94.98
1073370,2016,9,1073420,Division Game,L,88.08,126.16
1073370,2017,1,1107405,Division Game,W,98.82,79.62
1073370,2017,10,1075098,Non-Division Game,W,76.06,65.18
1073370,2017,11,1073358,Division Game,L,80.94,92.78
1073370,2017,12,1073420,Division Game,L,74.46,111.48
1073370,2017,13,1073363,Division Game,L,96,97.92
1073370,2017,15,1073420,Consolation Game,L,72.74,75.28
1073370,2017,16,1075098,Consolation Game,L,25.1,94.88
1073370,2017,2,1115989,Division Game,W,92.72,71.16
1073370,2017,3,1073361,Non-Division Game,W,80.4,60.3
1073370,2017,4,1073358,Division Game,L,69.34,102.54
1073370,2017,5,1073420,Division Game,W,74.98,49.64
1073370,2017,6,1073363,Division Game,L,62.18,108.16
1073370,2017,7,1073395,Non-Division Game,W,121.22,90.42
1073370,2017,8,1107405,Division Game,L,92.28,118.78
1073370,2017,9,1115989,Division Game,W,79.62,44.96
1073370,2018,1,1073363,Division Game,L,68.32,91.94
1073370,2018,2,1073420,Division Game,W,111.84,92.86
1073370,2018,3,1087309,Non-Division Game,W,82.76,76.94
1073395,2014,1,1073361,Division Game,L,81.66,85.9
1073395,2014,10,1073363,Non-Division Game,W,137.8,133.18
1073395,2014,11,1089754,Division Game,W,92.74,92.38
1073395,2014,12,1075098,Division Game,L,69.66,117.88
1073395,2014,13,1073671,Division Game,W,78.22,63.2
